nama_perusahaan,judul_pekerjaan,lokasi_pekerjaan,gaji_pekerjaan,type_pekerjaan,deskripsi_pekerjaan,tanggal_diposting,link
"AmantraNa Canggu","Front Office Staff","Canggu, Bali","Rp3.300.000 - Rp3.500.000 per bulan","Full time","AmantraNa Canggu is a modern Indonesian style eco-friendly boutique hotel in Canggu.Requirements:- Minimum 1 Year working experience in related field - Proficient in English, both written and verbally - Able to provide personable, welcoming, and professional customer service- Available to work as soon as possible- Able to work in a teamPersyaratan minimum:Tersedia jam fleksibelDiperlukan 2-3 tahun pengalaman kerja yang relevan untuk posisi iniPelamar harus memiliki KTPTanggal mulai kerja: 01 May 2024Gaji yang diinginkan: Rp3,300,000 - Rp3,500,000 per bulan","4 hari yang lalu",https://id.jobstreetexpress.com//job/Front-Office-Staff-6239c9963fba61ffab2e526dd9dce359?abstract_type=original&fsv=true&sfjt=&sl=&sp=sserp_top&sponsored=true&sq=&sr=1&tk=zsNizCAVEh2aaDEmHGCq-ggnU9q4Dj6SYqOBZ3s_E&trigger_source=serp
"PT. KINKLAUS SUKSES INDO (KS GROUP)","Staff Promotion KS GROUP BANDUNG","Kelurahan Braga, Jawa Barat","Rp2.500.000 - Rp6.000.000 per bulan","Full time","Tanggung Jawab Pekerjaan:Melakukan kegiatan promosi dann penjualan produk perusahaanMenyusun rencana kegiatan promosi, dan promosi langsung bertemu customerKualifikasi Pendidikan : Pendidikan Minimal SMA/SMK sederajatFreshgraduate silakan melamarUsia Maksimal 26 TahunMemiliki Komunikasi yang baikDapat Belerja secara team maupun individuJujur, ulet, ramah, dan memiliki rasa percaya diri yang tinggiBisa untuk freelance (sambil kuliah) Good attitude & presentableBenefit : Gaji PokokTunjangan Konsumsi dan TranportasiTunjangan KesehatanBonus Training (7hari) (jika lolos) 250.000MessPersyaratan minimum:Tersedia jam fleksibelTidak diperlukan pengalaman kerja untuk posisi iniPelamar harus memiliki KTPGaji yang diinginkan: Rp2,500,000 - Rp6,000,000 per bulan","6 hari yang lalu",https://id.jobstreetexpress.com//job/Staff-Promotion-KS-b5e4a7403a287f9890719442e3d91aba?abstract_type=original&fsv=true&sfjt=&sl=&sp=sserp_top&sponsored=true&sq=&sr=2&tk=zsNizCAVEh2aaDEmHGCq-ggnU9q4Dj6SYqOBZ3s_E&trigger_source=serp
"BP Management","Staff Administrasi",Jakarta,"Tanpa pengalaman kerja","Tanpa pengalaman kerja","Tanggung Jawab :Menyimpan catatan karyawan baik fisik maupun digitalMelakukan perawatan arsip data pelanggan maupun mitra eksternalMendistribusikan surat masuk dan keluarMenjaga catatan arsip karyawan baik dalam bentuk fisik maupun digitalMenyiapkan laporan dan presentasi rutinMengatur, menyimpan dan mencetak dokumen perusahaan sesuai dengan kebutuhanMenjawab dan mengalihkan panggilan teleponMengatur perjalanan bisnisMengupdate kebijakan kantorPersyaratan Pekerjaan :Memiliki pengetahuan mengenai kebijakan dan prosedur kantorBerpengalaman dalam menggunakan MS OfficeMemiliki keterampilan organisasi dan manajemen waktu yang baikMemiliki kemampuan komunikasi yang baik dalam verbal dan tulisanMemiliki atensi yang baik terhadap detail dan selalu berupaya untuk menyelesaikan masalahSMK/SMA atau tingkat pendidikan yang lebih tinggi, dan memiliki kualifikasi sebagai staff administrasi, atau sekretaris adalah nilai plusPersyaratan minimum:Mencari kandidat untuk bekerja pada:Senin: Pagi, Siang, SoreSelasa: Pagi, Siang, SoreRabu: Pagi, Siang, SoreKamis: Pagi, Siang, SoreJum'at: Pagi, Siang, SoreSabtu: Pagi, Siang, SoreMinggu: Pagi, Siang, SoreTidak diperlukan pengalaman kerja untuk posisi iniPelamar harus memiliki KTPTanggal mulai kerja: 29 April 2024","6 hari yang lalu",https://id.jobstreetexpress.com//job/Administrasi-8a2f8a87c73c2580dd3f0bec75f7aca5?abstract_type=original&fsv=true&sfjt=&sl=&sol_srt=5e9c2831-7c9a-440e-842d-9390a28b40a7&sp=serp&sponsored=false&sq=&sr=1&tk=zsNizCAVEh2aaDEmHGCq-ggnU9q4Dj6SYqOBZ3s_E&trigger_source=serp
"PT. Mita Jaya Mandiri","Admin Online","Mangga Besar, Jakarta","Tanpa pengalaman kerja","Part time","PersyaratanMaxsimal usia 45 tahunMenguasai internet/sosial mediaTeliti, cekatan, disiplin, mau belajarKerja online darimanapun sebagai admin Tokopedia, Shopee dan BukalapakMudah dihubungi via WhatsappPersyaratan minimum:Tersedia jam fleksibelTidak diperlukan pengalaman kerja untuk posisi iniKartu izin tinggal dapat diberikan untuk posisi iniGaji yang diinginkan: Rp3,000,000 - Rp5,000,000 per bulan","4 hari yang lalu",https://id.jobstreetexpress.com//job/Admin-3cf680af59477bfdc1c49fc6dd672ddb?abstract_type=original&fsv=true&sfjt=&sl=&sol_srt=5e9c2831-7c9a-440e-842d-9390a28b40a7&sp=serp&sponsored=false&sq=&sr=2&tk=zsNizCAVEh2aaDEmHGCq-ggnU9q4Dj6SYqOBZ3s_E&trigger_source=serp
"CV. Sukses Makmur","Admin Freelance","Purwodinatan, Jawa Tengah","Rp3.000.000 - Rp5.000.000 per bulan","Tanpa pengalaman kerja","Tugas dan tanggung jawab :Membantu operasional adminKualifikasi Pelamar :Usia maksimal 35 tahunDomisili SemarangMinimal SMA/SMK sederajatBertanggung jawab Paham MS Office Mampu bekerja dibawah tekanan Persyaratan minimum:Tersedia jam fleksibelTidak diperlukan pengalaman kerja untuk posisi iniKartu izin tinggal dapat diberikan untuk posisi ini","Sekitar 23 jam yang lalu",https://id.jobstreetexpress.com//job/Admin-ba9d5d9cfce167891b7dc4ca7ed27d42?abstract_type=original&fsv=true&sfjt=&sl=&sol_srt=5e9c2831-7c9a-440e-842d-9390a28b40a7&sp=serp&sponsored=false&sq=&sr=3&tk=zsNizCAVEh2aaDEmHGCq-ggnU9q4Dj6SYqOBZ3s_E&trigger_source=serp
"Abdi Perdana Cipta","Staff admin penempatan sariwangi","Cihanjuang, Jawa Barat","Tanpa pengalaman kerja","Full time","membutuhkan staff admin hanya berfokus pada data-data yang ada mengolah data- usia 22-30thn- memiliki kendaraan bermotor- Diutamakan domisili cimahi/ sekitaran sariwangi - pendidikan min D3 / smk akuntansi memiliki pengalaman yg sama min 1thn- mampu bekerja sama secara team- bertanggung jawab- menguasai laporan pembukuan keuangan 
- mampu menggunakan komputer miscrosoft excel dasar- penempatan kantor sariwangi kab.bandung- di utamakan domisili dekat kantor- salery awal (60.000-70.000-100.000 / hari) sambil melihat kinerja dan bisa ada bonusPersyaratan minimum:Mencari kandidat untuk bekerja pada:Senin: PagiSelasa: PagiRabu: PagiKamis: PagiJum'at: PagiSabtu: PagiDiperlukan 1 tahun pengalaman kerja yang relevan untuk posisi iniPelamar harus memiliki KTPTanggal mulai kerja: 02 May 2024Gaji yang diinginkan: Rp70,000 - Rp100,000 per hari","1 hari yang lalu",https://id.jobstreetexpress.com//job/Admin-0426e860c52df6f23b1ed84d7842b849?abstract_type=original&fsv=true&sfjt=&sl=&sol_srt=5e9c2831-7c9a-440e-842d-9390a28b40a7&sp=serp&sponsored=false&sq=&sr=4&tk=zsNizCAVEh2aaDEmHGCq-ggnU9q4Dj6SYqOBZ3s_E&trigger_source=serp
"PT Samyang Indonesia","Staff Admin","Pejagalan, Jakarta","Part time",,"Jobdesc:- Melakukan filing dokumen- Membantu divisi lain dalam hal administrasi dan pekerjaan lainnya- Membantu koordinasi antar tim yang membutuhkan- Menjawab telepon dan merespon email masuk- Membuat laporan yang dibutuhkanReq:- Pendidikan minimal D3 semua jurusan (fresh graduates are welcome)- Memiliki pengalaman di bidang usaha Outsourcing atau PJTKI atau yang sejenisnya- Dapat mengoperasikan Ms. Office, terutama Excel- Disiplin, teliti, baik dalam komunikasi, bertanggung jawab dan jujurPersyaratan minimum:Mencari kandidat untuk bekerja pada:Senin: Pagi, SiangSelasa: Pagi, SiangRabu: Pagi, SiangKamis: Pagi, SiangJum'at: Pagi, SiangSabtu: Pagi, SiangDiperlukan 1 tahun pengalaman kerja yang relevan untuk posisi iniPelamar harus memiliki KTPTanggal mulai kerja: 25 May 2024","Sekitar 4 jam yang lalu",https://id.jobstreetexpress.com//job/Admin-037e1c3f1a233c3a598d9c5aa0d8dad6?abstract_type=original&fsv=true&sfjt=&sl=&sol_srt=5e9c2831-7c9a-440e-842d-9390a28b40a7&sp=serp&sponsored=false&sq=&sr=5&tk=zsNizCAVEh2aaDEmHGCq-ggnU9q4Dj6SYqOBZ3s_E&trigger_source=serp
"Gadai Top Pulo Jahe","Staff Admin","Jatinegara, Jakarta","Tanpa pengalaman kerja","Tanpa pengalaman kerja","Tanggung Jawab Pekerjaan:• Menyapa dan mengarahkan tamu kantor dan menjawab panggilan telepon.• Menjadwalkan janji atau rencana temu dan menindaklanjutinya dalam kalendar.• Menjadwalkan dan mengatur pertemuan antar staf dan klien.• Menerima dan membagikan surat.• Memastikan inventaris kantor tersedia.• Melakukan akuntansi dan pembukuan.• Menyiapkan bantuan komunikasi seperti memo, email, invoices, laporan dan lainnya.• Menulis dan Mengedit dokumen dari surat menjadi laporan dan atau dokumentasi arahan.• Membuat dan menjaga sistem pengarsipan, baik fisik maupun elektronik.Persyaratan Pekerjaan:• Kandidat adalah lulusan (Diploma, Sertifikasi, SMU, SMK) atau lulusan lainnya yang setara• 1 tahun pengalaman di bidang terkait• Memiliki pengalaman kerja sebagai sekretaris• Memiliki pengalaman dalam (Microsoft Office) pada tingkat (dasar/terampil)• Memiliki kemampuan melakukan pembukuan dasar• Kemampuan mengatur, pembagian waktu dan komunikasi yang baik• Memiliki kemampuan membangun hubungan dan adaptasi yang baikPersyaratan minimum:Tersedia jam fleksibelTidak diperlukan pengalaman kerja untuk posisi iniPelamar harus memiliki KTP","Sekitar 1 jam yang lalu",https://id.jobstreetexpress.com//job/Admin-88a277d2d41a3a9bb22daaa05974d331?abstract_type=original&fsv=true&sfjt=&sl=&sol_srt=5e9c2831-7c9a-440e-842d-9390a28b40a7&sp=serp&sponsored=false&sq=&sr=6&tk=zsNizCAVEh2aaDEmHGCq-ggnU9q4Dj6SYqOBZ3s_E&trigger_source=serp
"PT.Grand Pasific Pratama","Staff Admin Cabang Kenjeran","Gading, Jawa Timur","Part time","Full time","Melakukan input dan olah data merupakan tanggung jawab basic dari seorang admin,  untuk posisi admin yang sedang kami buka ini nantinya akan fokus pada admin penjualan, admin gudang, serta admin piutang.Persyaratan minimum:Tersedia jam fleksibelDiperlukan 1 tahun pengalaman kerja yang relevan untuk posisi iniPelamar harus memiliki KTPTanggal mulai kerja: 30 July 2024Gaji yang diinginkan: Rp1,500,000 - Rp3,000,000 per bulan","Sekitar 23 jam yang lalu",https://id.jobstreetexpress.com//job/Admin-8a7768399ece7b7f3521840be6994ee2?abstract_type=original&fsv=true&sfjt=&sl=&sol_srt=5e9c2831-7c9a-440e-842d-9390a28b40a7&sp=serp&sponsored=false&sq=&sr=7&tk=zsNizCAVEh2aaDEmHGCq-ggnU9q4Dj6SYqOBZ3s_E&trigger_source=serp
"Mizuho Leasing Indonesia - Yogyakarta","Administrasi Staff","Danukusuman, Jawa Tengah","Rp70.000 - Rp100.000 per hari","Tanpa pengalaman kerja","Deskripsi Pekerjaan :Filling Dokumen & Entry DataMelakukan pekerjaan administrasi yang menyangkut bagian operationalMembuat laporan administrasiBertanggung jawab atas semua tugas yang berhubungan dengan administrasiPersyaratan Pekerjaan :Usia maksimal 30 tahunPendidikan S1 segala jurusanFresh Graduate are WelcomeMenguasai dan mampu mengoperasikan Microsoft Office (Excel, Word, dan lain lain)SLIK ClearPenempatan Cabang Yogyakarta - Jalan Raya Magelang No 43, RT/RW: 46/10, Kricak, Tegalrejo, Kota YogyakartaPersyaratan minimum:Mencari kandidat untuk bekerja pada:Senin: Pagi, SiangSelasa: Pagi, SiangRabu: Pagi, SiangKamis: Pagi, SiangJum'at: Pagi, SiangSabtu: Pagi, SiangTidak diperlukan pengalaman kerja untuk posisi iniPelamar harus memiliki KTPTanggal mulai kerja: 06 May 2024","4 hari yang lalu",https://id.jobstreetexpress.com//job/Administrasi-Staff-d233d77ceb517e41fdead17abae17cff?abstract_type=original&fsv=true&sfjt=&sl=&sol_srt=5e9c2831-7c9a-440e-842d-9390a28b40a7&sp=serp&sponsored=false&sq=&sr=8&tk=zsNizCAVEh2aaDEmHGCq-ggnU9q4Dj6SYqOBZ3s_E&trigger_source=serp
