nama_perusahaan,title,lokasi,tipe_pekerjaan,gaji,pendidikan
"PT Berlian Sistem Informasi","Cloud Engineer","4, KTB Annex Building. Jl. Jendral A. Yani Pulomas. Jakarta 13120, East Jakarta, DKI Jakarta, Indonesia","Full time",,"Bachelor's Degree"
"PT BFI Finance Indonesia Tbk","Management Trainee (Credit Analyst) CMTP","BFI Finance Palu Kredit Sepeda Motor, Kredit Mobil  Alamat : Ruko Moh. Hatta Center Jl. Dr. Moh. Hatta No. 21 D-E RT 11, RW 03, Kel. Besusu Tengah, Kec. Palu Timur Kota Palu 94111 No. Telepon : (0451) 422 678, Fax : (0451) 426 875","Full time",,"Bachelor's Degree"
"Kompas Gramedia","Lecturer in Visual Communication Design - Universitas Multimedia Nusantara","Kampus Universitas Multimedia Nusantara, Scientia Garden. Jl. Boulevard Gading Serpong Tangerang, Banten","Full time",,"Master's Degree"
FinAccel,"DevOps Engineer","Dipo Tower, Jalan Jenderal Gatot Subroto, Jakarta Pusat 10260, Indonesia","Full time",,"Bachelor's Degree"
"Kompas Gramedia","Lecturer in Film - Universitas Multimedia Nusantara","Scientia Garden, Jl. Boulevard Gading Serpong. Tangerang","Full time",,"Master's Degree"
FinAccel,"Android Engineer","Dipo Tower, Jakarta Pusat 10260, Indonesia","Full time",,"Bachelor's Degree"
"PT. Adicipta Inovasi Teknologi (AdIns)","Information Technology System Analyst","Jl. Raya Kb. Jeruk No.80, RT.7/RW.1, Kb. Jeruk, Kec. Kb. Jeruk, Kota Jakarta Barat, Daerah Khusus Ibukota Jakarta 11530, Indonesia","Full time",IDR,"Bachelor's Degree"
FinAccel,"Software Engineer, Data","Dipo Tower, Jl. Gatot Subroto No.Kav 50-52, RW.7, Petamburan, Kecamatan Tanah Abang, Jakarta, Daerah Khusus Ibukota Jakarta 10260","Full time",,"Bachelor's Degree"
"Kompas Gramedia","Lecturer in Informatics - Universitas Multimedia Nusantara","Scientia Garden, Jl. Boulevard Gading Serpong. Tangerang","Full time",,Doctorate
"Nomura Research Institute Indonesia","DevOps Engineer","MidPlaza 2, 7F Jl. Jend. Sudirman Kav. 10-11 Jakarta 10220, Indonesia, Central Jakarta, DKI Jakarta, Indonesia","Full time",IDR,"Associate's Degree"
