nama_perusahaan,title,lokasi,tipe_pekerjaan,gaji,pendidikan
"OY! Indonesia","Associate Product Manager","Gedung Treasury Tower , Kawasan District 8 LOT 28, SCBD, Jl. Jend. sudirman kav 52-53, RT.5/RW.3, Senayan, Kec. Kby. Baru, Kota Jakarta Selatan, Daerah Khusus Ibukota Jakarta 12190, Indonesia","Full time",,"Bachelor's Degree"
"PT BFI Finance Indonesia Tbk","Marketing Agency Car Penempatan Pandaan, Pasuruan","BFI Finance KC Pandaan - Jl. Raya Malang - Gempol No.8, Macanan, Karang Jati, Kec. Pandaan, Pasuruan","Full time",IDR,"Bachelor's Degree"
FIFGROUP,"Internal Auditor","Menara FIF (Head Office)  Jl. TB Simatupang Kav 15 Cilandak, Jakarta Selatan 12440","Full time",,"Bachelor's Degree"
"Kompas Gramedia","Account Executive VCBL","Jl. Palmerah Selatan No. 22-28. Jakarta, Indonesia, West Jakarta, DKI Jakarta, Indonesia","Full time",,"Bachelor's Degree"
FinAccel,"Android Engineer","Dipo Tower, Jakarta Pusat 10260, Indonesia","Full time",,"Bachelor's Degree"
"Systems Ltd.","Senior Business Development Manager","Jakarta, JABODETABEK, Indonesia","Full time",IDR,"Bachelor's Degree"
Dekoruma,"Designer Manager Medan","Jl. Gatot Subroto No.188 A · 0821-6256-1163",Contractual,,"Bachelor's Degree"
"PT BFI Finance Indonesia Tbk","Social Media Internship","Head Office - BFI Tower Sunburst CBD Lot 1.2 Jl. Kapt. Soebijanto Djojohadikusumo BSD City Tangerang Selatan 15322","Full time",,"Bachelor's Degree"
"PT BFI Finance Indonesia Tbk","Management Trainee Marketing Sulselbar","Head Office - BFI Tower Sunburst CBD Lot 1.2 Jl. Kapt. Soebijanto Djojohadikusumo BSD City Tangerang Selatan 15322","Full time",,"Bachelor's Degree"
"Kompas Gramedia","Business Development Executive",,"Full time",,"Bachelor's Degree"
"PT BFI Finance Indonesia Tbk","Admin Processing  Branch Depok","Head Office - BFI Tower Sunburst CBD Lot 1.2 Jl. Kapt. Soebijanto Djojohadikusumo BSD City Tangerang Selatan 15322","Full time",,"Associate's Degree"
"PT BFI Finance Indonesia Tbk","Sales Advisor Front Office Jakarta Utara","Head Office - BFI Tower Sunburst CBD Lot 1.2 Jl. Kapt. Soebijanto Djojohadikusumo BSD City Tangerang Selatan 15322","Full time",,"High School"
"Home Credit Indonesia","IT Internal Audit Specialist","Plaza Oleos, South Jakarta, DKI Jakarta, Indonesia","Full time",,"Bachelor's Degree"
"PT. Tiki Jalur Nugraha Ekakurir (JNE)",Assesor,,"Full time",IDR,"Bachelor's Degree"
"Siloam Hospitals Group","Product Management Intern","Cipondoh Indah Kel., Cipondoh","Full time",,"Bachelor's Degree"
"PT BFI Finance Indonesia Tbk","Administration Internship Head Office","Head Office - BFI Tower Sunburst CBD Lot 1.2 Jl. Kapt. Soebijanto Djojohadikusumo BSD City Tangerang Selatan 15322","Full time",,"Bachelor's Degree"
"PT BFI Finance Indonesia Tbk","Human Capital Internship Jambi","Lebak bandung, Jelutung","Full time",,"Bachelor's Degree"
"PT BFI Finance Indonesia Tbk","Surveyor Denpasar","Head Office - BFI Tower Sunburst CBD Lot 1.2 Jl. Kapt. Soebijanto Djojohadikusumo BSD City Tangerang Selatan 15322","Full time",,"Associate's Degree"
