pt,title,lokasi,is_urgent,gaji,pendidikan,level,link,tipe_pekerjaan,description,post_date
"PT Mitra Cipta Hardi Elektrindo","Finance Accounting Staff","Jakarta Pusat",false,LABEL_COMPETITIVE_SALARY,"[""S1"",""D3"",""SMA""]","Pemula / Staf",https://karir.com//opportunities/1391446,"Tidak Disebutkan","<p>Pendidikan Minimal SMK Akuntansi
</p><p>Mampu mengoperasikan komputer (Ms. Office)
</p><p>Mampu berkomunikasi dengan baik
</p><p>Disiplin, teliti, rapi dan berintegritas
</p><p>Memiliki kemampuan interpersonal dan komunikasi yang baik
</p><p>Mampu bekerja dalam tim</p>",2024-04-29T03:44:00.353522Z
"CV Bara Coaching Indonesia","Staff Administrasi",Surabaya,false,LABEL_COMPETITIVE_SALARY,"[""S1"",""D3""]","Pemula / Staf",https://karir.com//opportunities/1394897,"Tidak Disebutkan","<p>1. Laki laki/ perempuan</p><p>2. Minimal lulusan D3 atau sederajat semua jurusan</p><p>3. Mampu mengoperasikan komputer terutama Ms. Word dan Ms. Excel</p><p>4. Mampu berkomunikasi dengan baik</p><p>5. Mampu bekerjasama dalam tim</p><p>6. Jujur, disiplin dan teliti</p><p>7. Memahami alur keuangan</p>",2024-04-29T06:36:30.989135Z
"PT Pesonna Indonesia Jaya","Talent Development Staff","Jakarta Pusat",false,LABEL_COMPETITIVE_SALARY,"[""S1"",""D3""]","Pemula / Staf",https://karir.com//opportunities/1394870,"Tidak Disebutkan","<ul><li>Pendidikan dan Latar Belakang FB dan Psikologi.(<strong>manajemen /sertifikasi SDM menjadi nilai tambah.)</strong></li><li>Pengalaman Kerja min 2 tahun dibidang yang sama..
</li><li>Memilki Keterampilan Interpersonal.</li><li>Pemahaman tentang Pengembangan Bakat.</li><li>Kreativitas dan Inovasi.</li><li>Kemampuan Organisasi dan Manajemen Waktu.&nbsp;</li><li>Komitmen terhadap Pertumbuhan dan Pembelajaran.&nbsp;</li><li>Kemampuan Analitis.&nbsp;</li><li>Memiliki integritas tinggi dan mematuhi standar etika profesional dalam semua aspek pekerjaan.</li><li><strong>Domisili di Jabodetabek (Jakarta diutamakan)</strong></li><li><strong>Bersedia untuk ditugaskan keluar kota Jakarta<br></strong><br></li></ul><br>





",2024-04-26T08:24:36.105168Z
"PT Akari Indonesia","Staff HRD / Personalia",Sidoarjo,false,LABEL_COMPETITIVE_SALARY,"[""S1""]","Pemula / Staf",https://karir.com//opportunities/1394843,"Tidak Disebutkan","<p><ul><li>Usia maksimal 30 Tahun</li><li>Pendidikan Min. S1 Manajemen SDM / Psikologi</li><li>IPK Min. 3.00</li><li>Berpengalaman / Fresh Graduate</li><li>Memiliki skill komunikasi yang baik</li></ul></p>",2024-04-26T01:37:35.535441Z
"PT Mitra Sejuk Selaras","Accounting Staff","Jakarta Barat",true,LABEL_COMPETITIVE_SALARY,"[""D3""]","Staf Senior",https://karir.com//opportunities/1394837,"Tidak Disebutkan","<p>Requirement
</p><p>- Wanita</p><p>• Pendidikan minimal S1 yang berhubungan terutama Accounting / Finance&nbsp;</p><p>• Pengalaman minimal 1 tahun di bidang&nbsp; Akutansi.
</p><p>• Mengerti penggunaan Microsoft Office, terutama Excel.
</p><p>• Logika dan hitungan yang kuat, teliti, fast learning, orientasi pada detail.
</p><p>- Lokasi Kerja Jakarta Barat</p><p>• Kemampuan untuk bekerja secara kooperatif dan bersama dengan semua tingkatan karyawan, manajemen dan vendor eksternal untuk memaksimalkan kinerja, kreativitas, penyelesaian masalah dan hasil.
</p><p>• Mempunyai keterampilan English yang sangat baik (tertulis dan verbal).
</p><p>• Memberikan ide dan saran kepada management management.
</p><p>• Bertanggung jawab terhadap atasan.</p>",2024-04-25T07:57:30.958346Z
"PT Inti Solid Tritama","Staff Accounting",Bandung,false,LABEL_COMPETITIVE_SALARY,"[""S1""]","Pemula / Staf",https://karir.com//opportunities/1394322,"Tidak Disebutkan","<p>Pendidikan minimal S1 Akuntansi&nbsp;</p><p>Diutamakan yang sudah berpengalaman (mininal 2 tahun)</p><p>Mampu bekerja secara mandiri maupun dalam tim</p><p>Laki laki / Perempuan&nbsp;</p><p>Ditempatkan di Bandung</p>",2024-04-25T05:54:00Z
"ASABA GROUP","IT Staff (placement in banking client - Purwokerto)",Purwokerto,false,LABEL_COMPETITIVE_SALARY,"[""S1"",""D3""]","Pemula / Staf",https://karir.com//opportunities/1394817,"Tidak Disebutkan","<ul><li>Diploma / Bachelor's Degree from Computer Sciences, Information Technology or a related field preferred with minimum GPA 3.00</li><li>Experience as IT Support or IT Helpdesk in Banking Company</li><li>Fresh graduates are welcome to apply</li><li>Required Skill(s): SQL, troubleshooting, networking, helpdesk, service desk, mobility</li><li>Having good analytical problem solving and good communication skill</li><li>Willing to work in shifts</li><li>Placement in our banking client in Purwokerto, Jawa Tengah<br></li></ul>",2024-04-24T08:27:16.147233Z
"PT Bina Talenta","Accounting Staff",Bogor,true,LABEL_COMPETITIVE_SALARY,"[""S1""]","Pemula / Staf",https://karir.com//opportunities/1394819,"Tidak Disebutkan","<ul><li>&nbsp;Bachelor Degree majoring Accounting</li><li>&nbsp;2-3 years in similar position or in public accounting firmPC (SAP and Windows 95) proficient</li><li>&nbsp;Good organization and communication skills </li><li>&nbsp;Experience with regulatory matters </li><li>&nbsp;Excellent oral and written English skills </li><li>&nbsp;Accounting Standard (IFRS, US GAAP and Local GAAP) </li><li>&nbsp;Communication, leadership skills </li><li>&nbsp; Ability to utilize automated data processing systems; work continuously and accurately with figures </li><li>&nbsp;Certified Public Accountant </li><li>&nbsp;Basic knowledge of ISO IATF 16949, SMK3, ISO 14001, and Eco Industry</li><li><strong>Work Location : Wanaherang, Gunung Putri. Kab. Bogor <br></strong></li></ul><p><strong><br></strong></p><p><strong>Benefit :</strong></p><ul><li>Basic Salary / gross</li><li>Transport Allowance</li><li>Catering makan siang</li><li>BPJS</li><li>Lembur (Jika dibutuhkan)</li><li>THR</li><li>Kompensasi kontrak kerja<br></li></ul>",2024-04-24T10:03:40.808069Z
"PT Bina Talenta","Procurement staff",Bogor,false,LABEL_COMPETITIVE_SALARY,"[""S1""]","Pemula / Staf",https://karir.com//opportunities/1394823,"Tidak Disebutkan","<ul><li>Have at least Bachelor’s degree from top tier university</li><li>Minimum of 3+ years of experience in a similar position</li><li>Experience in basic knowledge of accounting, finance, and legal terms</li><li>Have the ability to negotiate</li><li>Work Location : Wanaherang - Gunung Putri Kab. Bogor<br></li></ul>",2024-04-24T10:33:18.726306Z
"Xperteam Consultant","Accounting Staff",Bandung,false,LABEL_COMPETITIVE_SALARY,"[""S1""]","Pemula / Staf",https://karir.com//opportunities/1394789,"Tidak Disebutkan","<p><strong>Kualifikasi</strong></p><p>1. Fresh Graduate/Pengalaman Max 1 tahun</p><p>2. Pendidikan S1 Akuntansi/keuangan/manajemen</p><p>3. Menguasai Microsoft Office (word, excel)</p><p>4. Memiliki pengetahuan/terbiasa menggunakan SAP</p>",2024-04-23T03:54:49.100412Z
