pt,title,lokasi,is_urgent,gaji,pendidikan,level,link,tipe_pekerjaan,description,post_date
"CV Bara Coaching Indonesia","Staff Administrasi",Surabaya,false,LABEL_COMPETITIVE_SALARY,"[""S1"",""D3""]","Pemula / Staf",https://karir.com//opportunities/1394897,"Tidak Disebutkan","<p>1. Laki laki/ perempuan</p><p>2. Minimal lulusan D3 atau sederajat semua jurusan</p><p>3. Mampu mengoperasikan komputer terutama Ms. Word dan Ms. Excel</p><p>4. Mampu berkomunikasi dengan baik</p><p>5. Mampu bekerjasama dalam tim</p><p>6. Jujur, disiplin dan teliti</p><p>7. Memahami alur keuangan</p>",2024-04-29T06:36:30.989135Z
"Perusahaan dirahasiakan","Assistent Manager Departement (Area Surabaya-Jawa Timur)",Semarang,false,LABEL_COMPETITIVE_SALARY,"[""S1"",""D3""]","Pemula / Staf",https://karir.com//opportunities/1394890,"Tidak Disebutkan","<p><ul><li>Pria &amp; Wanita
</li><li>Usia minimal 22 tahun, usia maksimal 32 tahun
</li><li>D3/S1 semua jurusan
</li><li>IPK Diatas 2.65
</li><li>Fresh Graduate
</li><li>Memiliki Ketelitian yang tinggi
</li><li>Memiliki komunikasi yang baik
</li><li>Mampu berorganisasi &amp; bekerja sama dengan baik
</li><li>Bersedia mengikuti proses seleksi &amp; Training
</li><li>Bersedia ditempatkan diArea Surabaya-Jawa Timur</li></ul></p>",2024-04-29T03:48:09.464954Z
"Xperteam Consultant","Small Animal Veterinary","Prov. DKI-Jakarta",false,LABEL_COMPETITIVE_SALARY,"[""S2"",""S1""]",Supervisor,https://karir.com//opportunities/1394900,"Tidak Disebutkan","
<p>Requirement :<br><ul><li>Doctor of Veterinary Medicine (DVM) degree or equivalent (graduates of UGM, IPB and UNAIR are preferred).
</li><li>Minimum 3 years working experience in small animal practice
</li><li>Valid veterinary license and the ability to practice in Miri, Sarawak
</li><li>Experience working with small animals including dogs and cats.
</li><li>Proficient in performing routine surgeries and medical procedures.
</li><li>Strong communication skills with the ability to connect with clients and team members.
</li></ul></p><p>Passion for providing high quality veterinary care and improving the well-being of animals.</p>






",2024-04-29T07:56:19.992688Z
"PT BPR Kredit Mandiri Indonesia","OFFICER FINANCE",Tangerang,false,LABEL_COMPETITIVE_SALARY,"[""S1""]","Staf Senior",https://karir.com//opportunities/1394899,"Tidak Disebutkan","<p><ol><li>Pendidikan min S1 Akutansi, Perpajakan, Managemen atau Management keuangan
</li><li>Berpengalaman min 1thn di bidang finance
</li><li>Usia max 30thn
</li><li>Menguasai administrasi perpajakan
</li><li>Mampu membuat laporan keuangan dan analisisnya
</li><li>Mempunyai sikap integritas, loyalitas tinggi dan bertanggung jawab
</li><li>Teliti, cermat, cekatan, dan rapi dalam bekerja
</li><li>Penempatan BSD/BEKASI</li></ol></p>",2024-04-29T07:55:22.46933Z
"PT Mitra Cipta Hardi Elektrindo","Finance Accounting Staff","Jakarta Pusat",false,LABEL_COMPETITIVE_SALARY,"[""S1"",""D3"",""SMA""]","Pemula / Staf",https://karir.com//opportunities/1391446,"Tidak Disebutkan","<p>Pendidikan Minimal SMK Akuntansi
</p><p>Mampu mengoperasikan komputer (Ms. Office)
</p><p>Mampu berkomunikasi dengan baik
</p><p>Disiplin, teliti, rapi dan berintegritas
</p><p>Memiliki kemampuan interpersonal dan komunikasi yang baik
</p><p>Mampu bekerja dalam tim</p>",2024-04-29T03:44:00.353522Z
"PT Inter Mitra Transindo","Driver Direksi","Jakarta Timur",false,LABEL_COMPETITIVE_SALARY,"[""SMA""]","Pemula / Staf",https://karir.com//opportunities/1394895,"Tidak Disebutkan","<p><ul><li>Jujur
</li><li>Rajin
</li><li>Bertanggung jawab
</li><li>Disiplin
</li><li>Mengetahui area Jakarta dan sekitarnya
</li><li>Lokasi kerja di Jakarta Timur
</li><li>Bersedia ditempatkan seluruh Indonesia</li></ul></p>",2024-04-29T06:13:49.270027Z
"PT Multi Bangun Abadi","SPG XL Axiata (Batam)",Batam,false,LABEL_COMPETITIVE_SALARY,"[""Apa Saja""]","Pemula / Staf",https://karir.com//opportunities/1394892,"Tidak Disebutkan","<ul><li>Wanita/Pria max. 30 tahun
</li><li>Berpenampilan menarik
</li><li>Sangat baik dalam Komunikasi
</li><li>Bersedia bekerja shift, mampu bekerja dengan sub target dan bekerja sebagai tim, termasuk hari libur
</li><li>Update dengan teknologi dan telekomunikasi</li></ul>",2024-04-29T04:13:25.783108Z
"Rumah Sakit Sumber Waras","Perawat ","Jakarta Barat",false,LABEL_COMPETITIVE_SALARY,"[""S1""]","Pemula / Staf",https://karir.com//opportunities/1356599,"Tidak Disebutkan","<p>Pendidikan S1 Ners.
</p><p>Berpengalaman minimal 1 tahun di Bidang Keperawatan.
</p><p>Memiliki STR yang Masih Berlaku &amp; Sertifikat Uji Kompetensi.
</p><p>Memiliki Sertifikat BTCLS
</p><p>Memiliki Sertifikat Bagi Unit Khusus ( ICU, ICCU, Kamar Bedah, Anestesi, PICU-NICU, HD, IGD ) 
</p><p>Komunikatif
</p><p>Dapat bekerja secara team.
</p><p>Bersedia bekerja Shift.
</p><p>Sehat Jasmani dan Rohani.
</p><p><br></p>",2024-04-29T00:33:42.693333Z
"PT BPR Kredit Mandiri Indonesia","IT INFRASTRUKTUR (BSD)",Tangerang,false,LABEL_COMPETITIVE_SALARY,"[""S1""]","Staf Senior",https://karir.com//opportunities/1394893,"Tidak Disebutkan","<p><ol><li>Lulusan dari Teknik/system Informatika.
</li><li>Mengerti mengenai jaringan komputer minimal Local Area Network dan akses internet.
</li><li>Mengerti mengenai hardware ( komputer PC, laptop dan printer)
</li><li>Mengerti instalasi software.
</li><li>Menguasai microsoft office
</li><li>Lebih diutamakan menguasai bahasa pemrograman atau database
</li><li>MEMPUNYAI SERIFIKAT MTCNA ATAU CCNA, WINDOWS SERVER DAN LINUX SERVER</li></ol></p>",2024-04-29T04:31:55.448Z
"CV Davindo Anugrah Unggul","DRAFTER & ESTIMATOR HVAC",Surabaya,false,LABEL_COMPETITIVE_SALARY,"[""S1"",""D3""]","Pemula / Staf",https://karir.com//opportunities/1390983,"Tidak Disebutkan","<p>•	Menerima dokumen/drawing/spec dari atasan, klien atau divisi lain. kemudian melakukan penghitungan / calculation kebutuhan jumlah, spec dan harga material, scope of work, subkontraktor, man hours untuk keperluan biding (tender) berdasarkan dokumen tersebut.
</p><p>•	Melakukan penghitungan MTO (material take off) dan Bill of Quantity (BoQ) untuk keperluan proyek.
</p><p>•	Survei Menentukan jumlah pendingin terhadap ruangan, kondisi beserta aksesorisnya.
</p><p>•	Desain letak perangkat pendingin lengkap dengan jalur pipa dan pembuangan airnya.
</p><p>•	Bisa mensupervisi Tim teknis di lapangan sesuai dengan standar perhitungan.
</p><p>•	Pengalaman dalam project industri &amp; building
</p><p>•	Menjalin hubungan/jaringan kerja kepada supplier/pabrik untuk mendapatkan informasi update harga, spesifikasi material yang nantinya digunakan untuk keperluan estimasi proposal tender.
</p><p>•	Melakukan pengadministrasian dokumen-dokumen / surat-surat / drawing berkaitan dengan hasil estimasi proyek yang sudah dikerjakan dalam jangka waktu tertentu sesuai dengan ketentuan yang berlaku sebagai dokumen arsip jika suatu saat nanti diperlukan.
</p><p>•	Melaksanakan kegiatan-kegiatan lain sesuai penugasan untuk kepentingan perusahaan secara menyeluruh.
</p><p>•	Bisa bahasa Inggris min. pasif.
</p><p>•	Jujur &amp; Bertanggung jawab
</p><p>•	Tegas &amp; bertanggung jawab
</p><p>•	Teliti &amp; bisa bekerja secara team
</p><p>•	Pekerja keras &amp; mau belajar
</p><p>•	Bersedia bekerja keluar kota sewaktu-waktu
</p><p>•	Memiliki kendaraan sendiri dan SIM C
</p><p>Surat Lamaran Kerja dapat dikirimkan ke alamat :
</p><p>CV. Davindo Anugrah Unggul
</p><p>Ruko Klampis Megah Blok C No. 35
</p><p>Jl. Klampis - Surabaya 
</p><p>Telp : 031-5961832</p>
",2024-04-29T07:24:20.646343Z
"CV Bara Coaching Indonesia",Housekeeping,Surabaya,true,LABEL_COMPETITIVE_SALARY,"[""SMA""]","Pemula / Staf",https://karir.com//opportunities/1394896,"Tidak Disebutkan","<p>1. pria/WANITA</p><p>2. Mampu mengerjakan pekerjaan housekeeping dengan baik dan rapi</p><p>3. Disiplin, jujur dan bertanggung jawab</p><p>4. Mampu bekerja sama dalam tim</p><p>5. Bersedia Menginap</p><p>6. Memiliki keterampilan memasak yang baik</p>",2024-04-29T06:34:10.884506Z
