pt,title,lokasi,gaji,level,pendidikan,tipePekerjaan,url,posteDate
Beautyaddict,Beautician,"Jakarta Selatan",Negosiasi,"Junior / Entry Level","SMA / SMK / STM","Purna Waktu / Full Time",https://www.loker.id/kecantikan/beauty-care/beautician-beautyaddict-jakarta-selatan.html,"Posted Date: April 29, 2024"
"PT. Funworld Prima","Teknisi Elektronika","Jakarta Pusat",Negosiasi,"Junior / Entry Level",Diploma/D1/D2/D3,"SMA / SMK / STM",https://www.loker.id/pekerjaan-umum/teknisi/teknisi-elektronika-pt-funworld-prima-jakarta-pusat.html,"Posted Date: April 26, 2024"
"PT. Suprindo Indonesia","Graphic Designer","Jakarta Utara","Rp.4 – 5 Juta","Junior / Entry Level",Diploma/D1/D2/D3,"SMA / SMK / STM",https://www.loker.id/desain-arsitektur/grafis/graphic-designer-pt-suprindo-indonesia-jakarta-utara.html,"Posted Date: April 26, 2024"
"PT Tritunggal Mega Persada","Host Live Streaming Fashion","Jakarta Timur","Rp.3 – 4 Juta","Junior / Entry Level",Diploma/D1/D2/D3,"SMA / SMK / STM",https://www.loker.id/penjualan/e-commerce/host-live-streaming-fashion-pt-tritunggal-mega-persada-jakarta-timur.html,"Posted Date: April 26, 2024"
"SANJAYA THANRY BAHTERA","Staff Finance Accounting","Jakarta Utara",Negosiasi,"Junior / Entry Level",Diploma/D1/D2/D3,"Sarjana / S1",https://www.loker.id/akuntansi-keuangan/akuntansi-finansial/staff-finance-accounting-sanjaya-thanry-bahtera-jakarta-utara.html,"Updated:  April 27, 2024"
Megatricon,"Pramuniaga Toko Listrik","Jakarta Utara",Negosiasi,"Junior / Entry Level","SMA / SMK / STM","Purna Waktu / Full Time",https://www.loker.id/ritel/asisten-ritel/pramuniaga-toko-listrik-megatricon-jakarta-utara-2.html,"Posted Date: April 25, 2024"
"PT Kartika Mas Jaya Agung","Sales Marketing Manager","Jakarta Selatan",Negosiasi,"Manager / Assistant Manager",Diploma/D1/D2/D3,"Sarjana / S1",https://www.loker.id/penjualan/konsultan-penjualan/sales-marketing-manager-pt-kartika-mas-jaya-agung-jakarta-selatan.html,"Posted Date: April 23, 2024"
"Jne agen ancol","Admin Logistik","Jakarta Utara","Rp.3 – 4 Juta","Junior / Entry Level",Diploma/D1/D2/D3,"Sarjana / S1",https://www.loker.id/administrasi/staf-admin/admin-logistik-jne-agen-ancol-jakarta-utara.html,"Posted Date: April 22, 2024"
"PT Simed Prakarsa Indonesia","Sales Toko SPG/SPB","Jakarta Pusat",Negosiasi,"Junior / Entry Level","SMA / SMK / STM",Kontrak,https://www.loker.id/ritel/asisten-ritel/sales-toko-spg-spb-pt-simed-prakarsa-indonesia-jakarta-pusat-2.html,"Posted Date: April 22, 2024"
"PT. LMT LOGISTICS","Marketing Officer","Jakarta Timur",Negosiasi,"Junior / Entry Level",Diploma/D1/D2/D3,"Sarjana / S1",https://www.loker.id/pemasaran/komunikasi-pemasaran/marketing-officer-pt-lmt-logistics-jakarta-timur.html,"Posted Date: April 22, 2024"
"PT. Istana Kemakmuran Motor","Sales Mobil Honda","Jakarta Barat","Rp.3 – 4 Juta","Junior / Entry Level",Diploma/D1/D2/D3,"Sarjana / S1",https://www.loker.id/penjualan/konsultan-penjualan/sales-mobil-honda-pt-istana-kemakmuran-motor-jakarta-barat.html,"Posted Date: April 20, 2024"
"Suma packaging Indonesia","Desktop Design Graphis","Jakarta Pusat",Negosiasi,"Junior / Entry Level",Diploma/D1/D2/D3,"SMA / SMK / STM",https://www.loker.id/desain-arsitektur/grafis/desktop-design-graphis-suma-packaging-indonesia-jakarta-pusat.html,"Posted Date: April 18, 2024"
"PT. CAHAYA PELITA RETAILINDO","Content Creator","Jakarta Barat","Rp.4 – 5 Juta","Junior / Entry Level",Diploma/D1/D2/D3,"Sarjana / S1",https://www.loker.id/pemasaran/pemasaran-digital/content-creator-pt-cahaya-pelita-retailindo-jakarta-barat.html,"Posted Date: April 17, 2024"
"Lovely Craft Store",Packing,"Jakarta Barat",Negosiasi,"Junior / Entry Level","SMA / SMK / STM","Purna Waktu / Full Time",https://www.loker.id/transportation-logistics/packing/packing-lovely-craft-store-jakarta-barat.html,"Posted Date: April 17, 2024"
"Confidential Company",Cook,"DKI Jakarta",Negosiasi,"Junior / Entry Level",Diploma/D1/D2/D3,"SMA / SMK / STM",https://www.loker.id/restaurant/koki/cook-confidential-company-dki-jakarta.html,"Updated:  April 19, 2024"
"CV MITRA JAYA GROUP","Supervisor Marketing","Jakarta Selatan",Negosiasi,"Supervisor / Coordinator",Diploma/D1/D2/D3,"Sarjana / S1",https://www.loker.id/pemasaran/manajemen-pemasaran/supervisor-marketing-cv-mitra-jaya-group-jakarta-selatan-2.html,"Posted Date: April 6, 2024"
"PT. Tiga Pilar Familia","Store Crew","Jakarta Utara","Rp.2 – 3 Juta","Junior / Entry Level","SMA / SMK / STM","Purna Waktu / Full Time",https://www.loker.id/ritel/asisten-ritel/store-crew-pt-tiga-pilar-familia-jakarta-utara.html,"Posted Date: April 5, 2024"
"PT. Tiga Pilar Familia","Warehouse Staff","Jakarta Utara","Rp.2 – 3 Juta","Junior / Entry Level","SMA / SMK / STM","Purna Waktu / Full Time",https://www.loker.id/transportation-logistics/warehouse/warehouse-staff-pt-tiga-pilar-familia-jakarta-utara.html,"Posted Date: April 5, 2024"
"PT HAICHUAN HEAVY INDUSTRY","Driver Perusahaan","Jakarta Utara",Negosiasi,"Junior / Entry Level","SMA / SMK / STM",Kontrak,https://www.loker.id/transportation-logistics/driver/driver-perusahaan-pt-haichuan-heavy-industry-jakarta-utara.html,"Posted Date: April 5, 2024"
"PT Sari Kreasi Boga, Tbk","Staff IT Support","Jakarta Barat","Rp.1 - 2 Juta","Junior / Entry Level",Diploma/D1/D2/D3,"SMA / SMK / STM",https://www.loker.id/information-technology/help-desk-it-support/staff-it-support-pt-sari-kreasi-boga-tbk-jakarta-barat.html,"Posted Date: April 3, 2024"
"PT. INTERMEDIA GRAPHIKA",Drafter,"Jakarta Timur","Rp.4 – 5 Juta","Supervisor / Coordinator",Diploma/D1/D2/D3,"Sarjana / S1",https://www.loker.id/desain-arsitektur/drafter-arsitektur/drafter-pt-intermedia-graphika-jakarta-timur.html,"Posted Date: Maret 27, 2024"
"Royal Kue ID","Sales Promotor Executive","Jakarta Utara",Negosiasi,"Junior / Entry Level",Diploma/D1/D2/D3,"Sarjana / S1",https://www.loker.id/ritel/asisten-ritel/sales-promotor-executive-royal-kue-id-jakarta-utara.html,"Updated:  Maret 28, 2024"
"PT. HERBAL MURNI INDONESIA","Marketing Marketplace","Jakarta Utara",Negosiasi,"Junior / Entry Level",Diploma/D1/D2/D3,"Sarjana / S1",https://www.loker.id/penjualan/e-commerce/marketing-marketplace-pt-herbal-murni-indonesia-jakarta-utara.html,"Updated:  Maret 20, 2024"
"PT INDO GUNA SEJAHTERA","Konsultan Kesehatan","Jakarta Pusat",Negosiasi,"Junior / Entry Level",Diploma/D1/D2/D3,"Sarjana / S1",https://www.loker.id/kesehatan-dan-kedokteran/perawat/konsultan-kesehatan-pt-indo-guna-sejahtera-jakarta-pusat.html,"Updated:  Maret 20, 2024"
Globalart,"Guru Menggambar","Jakarta Utara","Rp.3 – 4 Juta","Junior / Entry Level",Diploma/D1/D2/D3,"Sarjana / S1",https://www.loker.id/pendidikan-pelatihan/tutor-instruktur/guru-menggambar-globalart-jakarta-utara.html,"Posted Date: Maret 16, 2024"
BukuGaby,"Host Live / Live Streamer","Jakarta Utara","Rp.3 – 4 Juta","Junior / Entry Level",Diploma/D1/D2/D3,"SMA / SMK / STM",https://www.loker.id/penjualan/e-commerce/host-live-live-streamer-bukugaby-jakarta-utara.html,"Updated:  Februari 17, 2024"
"Marietta Beauty Bar","Staff Nail Art","Jakarta Barat",Negosiasi,"Junior / Entry Level",Diploma/D1/D2/D3,"Sarjana / S1",https://www.loker.id/kecantikan/staff-nail-art-marietta-beauty-bar-jakarta-barat.html,"Updated:  Januari 26, 2024"
"PT. PELITA NIAGA SEJAHTERA","Staff Purchasing","Jakarta Barat",Negosiasi,"Junior / Entry Level",Diploma/D1/D2/D3,"Sarjana / S1",https://www.loker.id/transportation-logistics/purchasing-pembelian/staff-purchasing-pt-pelita-niaga-sejahtera-jakarta-barat.html,"Posted Date: April 29, 2024"
"PT Citylights Real Estate","Agen Property","Jakarta Utara",Negosiasi,"Junior / Entry Level",Diploma/D1/D2/D3,"SMA / SMK / STM",https://www.loker.id/property-real-estate/agen-property-pt-citylights-real-estate-jakarta-utara.html,"Posted Date: April 29, 2024"
"PT GLOBAL GREEN INTERNATIONAL","Helper Logistik","Jakarta Pusat",Negosiasi,"Junior / Entry Level","SMA / SMK / STM","Purna Waktu / Full Time",https://www.loker.id/pekerjaan-umum/pembantu/helper-logistik-pt-global-green-international-jakarta-pusat.html,"Posted Date: April 29, 2024"
"PT HESHENG METAL","Sales Marketing Freelance","Jakarta Utara",Negosiasi,"Junior / Entry Level",Diploma/D1/D2/D3,"SMA / SMK / STM",https://www.loker.id/ritel/asisten-ritel/sales-marketing-freelance-pt-hesheng-metal-jakarta-utara.html,"Posted Date: April 29, 2024"
"PT. Rafa Citra Selaras",Sales,"Jakarta Timur","Rp.3 – 4 Juta","Junior / Entry Level",Diploma/D1/D2/D3,"Sarjana / S1",https://www.loker.id/penjualan/pengembangan-bisnis/sales-pt-rafa-citra-selaras-jakarta-timur.html,"Posted Date: April 29, 2024"
Uattu,"Sous Chef","Jakarta Utara",Negosiasi,"Supervisor / Coordinator",Diploma/D1/D2/D3,"SMA / SMK / STM",https://www.loker.id/restaurant/chef/sous-chef-uattu-jakarta-utara.html,"Posted Date: April 29, 2024"
"PLATO INTERIOR","Interior Designer","Jakarta Timur",Negosiasi,"Junior / Entry Level",Diploma/D1/D2/D3,"Sarjana / S1",https://www.loker.id/desain-arsitektur/interior/interior-designer-plato-interior-jakarta-timur.html,"Posted Date: April 29, 2024"
