pt,title,lokasi,gaji,level,pendidikan,tipePekerjaan,url,posteDate
"SANJAYA THANRY BAHTERA","Staff Finance Accounting","Jakarta Utara",Negosiasi,"Junior / Entry Level",Diploma/D1/D2/D3,"Sarjana / S1",https://www.loker.id/akuntansi-keuangan/akuntansi-finansial/staff-finance-accounting-sanjaya-thanry-bahtera-jakarta-utara.html,"Updated:  April 27, 2024"
"PT. LMT LOGISTICS","Marketing Officer","Jakarta Timur",Negosiasi,"Junior / Entry Level",Diploma/D1/D2/D3,"Sarjana / S1",https://www.loker.id/pemasaran/komunikasi-pemasaran/marketing-officer-pt-lmt-logistics-jakarta-timur.html,"Posted Date: April 22, 2024"
"Confidential Company",Cook,"DKI Jakarta",Negosiasi,"Junior / Entry Level",Diploma/D1/D2/D3,"SMA / SMK / STM",https://www.loker.id/restaurant/koki/cook-confidential-company-dki-jakarta.html,"Updated:  April 19, 2024"
"PT. Tiga Pilar Familia","Warehouse Staff","Jakarta Utara","Rp.2 – 3 Juta","Junior / Entry Level","SMA / SMK / STM","Purna Waktu / Full Time",https://www.loker.id/transportation-logistics/warehouse/warehouse-staff-pt-tiga-pilar-familia-jakarta-utara.html,"Posted Date: April 5, 2024"
"PT Sari Kreasi Boga, Tbk","Staff IT Support","Jakarta Barat","Rp.1 - 2 Juta","Junior / Entry Level",Diploma/D1/D2/D3,"SMA / SMK / STM",https://www.loker.id/information-technology/help-desk-it-support/staff-it-support-pt-sari-kreasi-boga-tbk-jakarta-barat.html,"Posted Date: April 3, 2024"
"Marietta Beauty Bar","Staff Nail Art","Jakarta Barat",Negosiasi,"Junior / Entry Level",Diploma/D1/D2/D3,"Sarjana / S1",https://www.loker.id/kecantikan/staff-nail-art-marietta-beauty-bar-jakarta-barat.html,"Updated:  Januari 26, 2024"
"PT. PELITA NIAGA SEJAHTERA","Staff Purchasing","Jakarta Barat",Negosiasi,"Junior / Entry Level",Diploma/D1/D2/D3,"Sarjana / S1",https://www.loker.id/transportation-logistics/purchasing-pembelian/staff-purchasing-pt-pelita-niaga-sejahtera-jakarta-barat.html,"Posted Date: April 29, 2024"
"PT Sentra Brosis Indojaya","Staff Admin Gudang","Jakarta Pusat",Negosiasi,"Junior / Entry Level",Diploma/D1/D2/D3,"SMA / SMK / STM",https://www.loker.id/transportation-logistics/warehouse/staff-admin-gudang-pt-sentra-brosis-indojaya-jakarta-pusat-5.html,"Posted Date: April 27, 2024"
"Mojiyama Florist","Staff Pramuniaga Toko","Jakarta Barat",Negosiasi,"Junior / Entry Level","SMA / SMK / STM","Purna Waktu / Full Time",https://www.loker.id/ritel/asisten-ritel/staff-pramuniaga-toko-mojiyama-florist-jakarta-barat.html,"Updated:  April 29, 2024"
"Mojiyama Florist","Staff Warehouse","Jakarta Barat",Negosiasi,"Junior / Entry Level","SMA / SMK / STM","Purna Waktu / Full Time",https://www.loker.id/transportation-logistics/warehouse/staff-warehouse-mojiyama-florist-jakarta-barat.html,"Updated:  April 29, 2024"
"PT. RAJAWALI LINTAS SAMUDERA","Sales Representative EMKL","Jakarta Utara","Rp.3 – 4 Juta","Junior / Entry Level",Diploma/D1/D2/D3,"Sarjana / S1",https://www.loker.id/penjualan/akun-dan-relasi/sales-representative-emkl-pt-rajawali-lintas-samudera-jakarta-utara.html,"Posted Date: April 25, 2024"
"Jatiluhur Glass",Administrasi,"Jakarta Utara","Rp.1 - 2 Juta","Junior / Entry Level",Diploma/D1/D2/D3,"SMA / SMK / STM",https://www.loker.id/administrasi/staf-admin/administrasi-jatiluhur-glass-jakarta-utara.html,"Posted Date: April 25, 2024"
"Amaranggana Batik","Digital Marketing","Jakarta Selatan",Negosiasi,"Junior / Entry Level",Diploma/D1/D2/D3,"Sarjana / S1",https://www.loker.id/pemasaran/pemasaran-digital/digital-marketing-amaranggana-batik-jakarta-selatan.html,"Posted Date: April 25, 2024"
"Kidsworld Play and Learn","Staff Kurir / Driver Motor","Jakarta Pusat","Rp.2 – 3 Juta","Junior / Entry Level","SMA / SMK / STM",Freelance,https://www.loker.id/transportation-logistics/kurir/staff-kurir-driver-motor-kidsworld-play-and-learn-jakarta-pusat.html,"Posted Date: April 25, 2024"
"PT TOTAL SOLUSINDO MESIN","Sales Executive","Jakarta Barat",Negosiasi,"Junior / Entry Level",Diploma/D1/D2/D3,"SMA / SMK / STM",https://www.loker.id/penjualan/konsultan-penjualan/sales-executive-pt-total-solusindo-mesin-jakarta-barat.html,"Posted Date: April 25, 2024"
"PT INTINUSA MITRA SUKSES","Staff Administrasi","Jakarta Utara",Negosiasi,"Junior / Entry Level",Diploma/D1/D2/D3,"SMA / SMK / STM",https://www.loker.id/administrasi/staf-admin/staff-administrasi-pt-intinusa-mitra-sukses-jakarta-utara.html,"Posted Date: April 25, 2024"
"Platinum Digital Printing","Sales Admin Staff","Jakarta Pusat",Negosiasi,"Junior / Entry Level",Diploma/D1/D2/D3,"SMA / SMK / STM",https://www.loker.id/administrasi/administrasi-penjualan/sales-admin-staff-platinum-digital-printing-jakarta-pusat-3.html,"Posted Date: April 25, 2024"
"Platinum Digital Printing","Kurir Staff","Jakarta Pusat",Negosiasi,"Junior / Entry Level","SMA / SMK / STM","Purna Waktu / Full Time",https://www.loker.id/transportation-logistics/kurir/kurir-staff-platinum-digital-printing-jakarta-pusat.html,"Posted Date: April 25, 2024"
"PT. Maxindo Mitra Solusi","Finance Staff","Jakarta Barat","Rp.3 – 4 Juta","Junior / Entry Level",Diploma/D1/D2/D3,"SMA / SMK / STM",https://www.loker.id/akuntansi-keuangan/akuntansi-finansial/finance-staff-pt-maxindo-mitra-solusi-jakarta-barat.html,"Posted Date: April 24, 2024"
"PT.METRO FAVORIT CITRAABADI","Staff Accounting","Jakarta Barat","Rp.3 – 4 Juta","Junior / Entry Level",Diploma/D1/D2/D3,"Sarjana / S1",https://www.loker.id/akuntansi-keuangan/akuntansi-finansial/staff-accounting-pt-metro-favorit-citraabadi-jakarta-barat.html,"Posted Date: April 24, 2024"
"KOPERASI NUSA RAYA CIPTA","Staff Admin","Jakarta Utara","Rp.4 – 5 Juta","Junior / Entry Level",Diploma/D1/D2/D3,"Sarjana / S1",https://www.loker.id/administrasi/staf-admin/staff-admin-koperasi-nusa-raya-cipta-jakarta-utara.html,"Updated:  April 25, 2024"
"PT SUARA AGUNG","Staff Administrasi","Jakarta Timur",Negosiasi,"Junior / Entry Level",Diploma/D1/D2/D3,"Sarjana / S1",https://www.loker.id/administrasi/staf-admin/staff-administrasi-pt-suara-agung-jakarta-timur.html,"Posted Date: April 24, 2024"
"PT Indogear Transmisi Sistem","Admin Staff","Jakarta Barat",Negosiasi,"Junior / Entry Level",Diploma/D1/D2/D3,"Sarjana / S1",https://www.loker.id/administrasi/staf-admin/admin-staff-pt-indogear-transmisi-sistem-jakarta-barat-11.html,"Posted Date: April 24, 2024"
"PT SUARA AGUNG","Marketing Excecutive","Jakarta Timur",Negosiasi,"Junior / Entry Level",Diploma/D1/D2/D3,"Sarjana / S1",https://www.loker.id/pemasaran/komunikasi-pemasaran/marketing-excecutive-pt-suara-agung-jakarta-timur.html,"Posted Date: April 24, 2024"
"PT Blackwater Indonesia",TeleMarketing,"Jakarta Utara","Rp.3 – 4 Juta","Junior / Entry Level",Diploma/D1/D2/D3,"SMA / SMK / STM",https://www.loker.id/telemarketing-telesales/telemarketing-pt-blackwater-indonesia-jakarta-utara.html,"Posted Date: April 24, 2024"
"Deta Yamaha Group","Staff Admin","Jakarta Pusat","Rp.3 – 4 Juta","Junior / Entry Level",Diploma/D1/D2/D3,"SMA / SMK / STM",https://www.loker.id/administrasi/staf-admin/staff-admin-deta-yamaha-group-jakarta-pusat-2.html,"Posted Date: April 23, 2024"
