pt,title,lokasi,gaji,level,pendidikan,tipe_pekerjaan,description,link,post_date
"SANJAYA THANRY BAHTERA","Staff Finance Accounting","Jakarta Utara",Negosiasi,"Junior / Entry Level",Diploma/D1/D2/D3,"Sarjana / S1","PT Sanjaya Thanry Bahtera bergerak dalam pengiriman Tenaga kerja Migran P3MI keluar negeri secara legal. sat ini kami membutuhkan staff finance accounting 

Tanggung Jawab Pekerjaan :

1. Menyusun Laporan Keuangan
2.  petty cash
3. Rekonsil Bank
4. Penagihan
5. administrasi keuangan

Keahlian :

Familiar dengan menggunakan office, dan software komputer.

Kualifikasi :

Wanita
Fresh graduate silahkan melamar

Waktu Bekerja :
Jam 8.30-17.00 senin – Jumat. Jam 8.30-12PM untuk sabtu",https://www.loker.id/akuntansi-keuangan/akuntansi-finansial/staff-finance-accounting-sanjaya-thanry-bahtera-jakarta-utara.html,"Updated:  April 27, 2024"
"PT. LMT LOGISTICS","Marketing Officer","Jakarta Timur",Negosiasi,"Junior / Entry Level",Diploma/D1/D2/D3,"Sarjana / S1","PT LMT LOGISTICS adalah perusahaan freight forwarding, dimana kami melayani jasa pengiriman baik dalam maupun luar negeri. Maka dari itu kami membutuhkan Staff dengan posisi Marketing Officer untuk mencari customer-customer yang ingin bekerjasama dengan perusahaan kami.

Tanggung Jawab Pekerjaan :

– Mencari Customer / order
– Mencapai target yang telah ditentukan
– Membangun komunikasi yang baik dan lancar

Keahlian :

– Menguasai Microsof Office
– Dapat berkomunikasi dengan baik

Kualifikasi :

1. Wanita / Pria
2. Berpengalaman min. 1 Tahun
3. Memiliki target
4. Bisa bekerja secara tim maupun individu
5. Berdomisili sekitar Jakarta Timur dan Bekasi

Waktu Bekerja :
Senin-Jumat , Jam 09:00 – 17:00 WIB ( Sabtu jika dibutuhkan )",https://www.loker.id/pemasaran/komunikasi-pemasaran/marketing-officer-pt-lmt-logistics-jakarta-timur.html,"Posted Date: April 22, 2024"
"Confidential Company",Cook,"DKI Jakarta",Negosiasi,"Junior / Entry Level",Diploma/D1/D2/D3,"SMA / SMK / STM","So Yummy Bakery ( Cafe and Resto ) BERGERAK DI BIDANG MAKANAN & MINUMAN saat ini membutuhkan staff kitchen

Tanggung Jawab Pekerjaan :

Memasak makanan sesuai resep

Keahlian :

MENGUASAI ANEKA RESEP MASAKAN AYAM, BEBEK DAN MAKANAN LAUT
MEMILIKI SKILL MEMASAK DAN DAPAT MEMBUAT ANEKA SAMBAL

Kualifikasi :

1	PRIA/WANITA
2	BERSEDIA DITEMPATKAN DILUAR KOTA
3	DIUTAMAKAN BERPENGALAMAN MIN. 1THN SEBAGAI JURU MASAK RESTO SAMBAL BAKAR/ NASI TEMPONG
4	DAPAT BEKERJASAMA DAN KOMUNIKATIF DENGAN TEAM

Tunjangan :

DISEDIAKAN TEMPAT TINGGAL",https://www.loker.id/restaurant/koki/cook-confidential-company-dki-jakarta.html,"Updated:  April 19, 2024"
"PT. Tiga Pilar Familia","Warehouse Staff","Jakarta Utara","Rp.2 – 3 Juta","Junior / Entry Level","SMA / SMK / STM","Purna Waktu / Full Time","Pusat grosir aksesoris Sukses Jaya membutuhkan crew gudang Laki-laki dan Perempuan untuk memproses pesanan online dan mengelola stok barang yang ada di gudang. Penempatan di Sentra Industri Terpadu III Blok K25 Elang Laut.

Tanggung Jawab Pekerjaan :

Laki – laki :
1. Bongkar muat barang
2. Packing barang
3. Stock Opname
Perempuan :
1. Menata dan restock barang di rak display gudang
2. Memproses pesanan online yang masuk
3. Kroscek ulang barang pesanan customer
4. Stock opname

Keahlian :

Laki – laki : bongkar muat barang, packing, stock opname
Perempuan : menata display, picking dan checking barang pesanan customer, stock opname

Kualifikasi :

1. Pria/Wanita
2. Pendidikan minimal SMA/SMK sederajat
3. Usia max 26 tahun
4. Pengalaman bekerja di toko / gudang minimal 1 tahun

Waktu Bekerja :
Senin – Sabtu 08.00 – 17.00",https://www.loker.id/transportation-logistics/warehouse/warehouse-staff-pt-tiga-pilar-familia-jakarta-utara.html,"Posted Date: April 5, 2024"
"PT Sari Kreasi Boga, Tbk","Staff IT Support","Jakarta Barat","Rp.1 - 2 Juta","Junior / Entry Level",Diploma/D1/D2/D3,"SMA / SMK / STM","PT Sari Kreasi Boga adalah perusahaan yang bergerak di bidang penjualan bahan baku dan waralaba makanan dan minuman membutuhkan kadidat dengan posisi : Freelance Staff IT Support

Tanggung Jawab Pekerjaan :

Maintance Jaringan, Jaringan, Website, Domain Email, Telepon

Keahlian :

Memahami dan menguasai segala hal yang berhubungan dengan komputer.
Memahami prinsip-prinsip jaringan seperti topologi jaringan, protokol komunikasi, dan cara kerja perangkat jaringan seperti switch, router, dan firewall.

Kualifikasi :

Pria/Wanita
Umur Min. 20 th Maks. 40 th
Pendidikan Minimal SMA/SMK
Non Pengalaman/ Min. Pengalaman 1 Th

Waktu Bekerja :
Jam : 08-17, Senin s.d. Jum’at",https://www.loker.id/information-technology/help-desk-it-support/staff-it-support-pt-sari-kreasi-boga-tbk-jakarta-barat.html,"Posted Date: April 3, 2024"
"Marietta Beauty Bar","Staff Nail Art","Jakarta Barat",Negosiasi,"Junior / Entry Level",Diploma/D1/D2/D3,"Sarjana / S1","Marietta Beauty Bar, salon kuku dan bulumata yang berlokasi di Jakarta Utara dan Jakarta Barat , memerlukan 1 orang terapis berpengalaman dalam pemasangan kuku, seni menghias kuku (nail art) 

Tanggung Jawab Pekerjaan :

Melakukan perawatan kuku manicure dan pedicure
Menghias kuku (nail art)
Memasang nail extension

Keahlian :

Menguasai skill manicure, pedicure, nail art 

Kualifikasi :

Wanita , usia max 35 tahun
Pengalaman kerja di bidang nail art

Waktu Bekerja :
1 minggu 6 hari kerja , 8-9 jam
Tunjangan :

Uang makan, kos, komisi dan tips 

Insentif :

komisi per treatment yang dikerjakan",https://www.loker.id/kecantikan/staff-nail-art-marietta-beauty-bar-jakarta-barat.html,"Updated:  Januari 26, 2024"
"PT. Abirama Bandha Sejahtera","Staff Administrasi","Remote (Work From Home)","Rp.4 – 5 Juta","Junior / Entry Level",Diploma/D1/D2/D3,"Sarjana / S1","Tanggung Jawab Pekerjaan :

Membuat Dokumen administrasi DO, PO, Invoice dan e-faktur pajak
Proses Penjualan dan Pembelian Barang
Mengerjakan Administrasi Perkantoran
Terbiasa dengan Tender dan prosesnya

Keahlian :

Menguasai Ms Office dan e-faktur pajak
Dapat membuat laporan pettycash
Paham aplikasi Pajak
Familiar dengan proses Tender Pengadaan

Kualifikasi :

Pria/wanita
Mampu bekerja secara individu /WFH
Pengalaman sebagai staff admin

											Jenis Pekerjaan : Remote (Work From Home)",https://www.loker.id/administrasi/staf-admin/staff-administrasi-pt-abirama-bandha-sejahtera-jakarta-pusat.html,"Posted Date: April 29, 2024"
"PT. PELITA NIAGA SEJAHTERA","Staff Purchasing","Jakarta Barat",Negosiasi,"Junior / Entry Level",Diploma/D1/D2/D3,"Sarjana / S1","PT PELITA NIAGA SEJAHTERA BERGERANG DIBIDANG GENERAL SUPPLAY 

Tanggung Jawab Pekerjaan :

1. Memastikan kebutuhan perusahaan yang harus dibeli.
2. Memastikan setiap pembelian sudah di-setujui oleh manajemen eksekutif.
3. Memastikan bahwa barang tiba dengan kondisi baik dan tiba tepat waktu.
4. Menjaga hubungan baik dengan vendor.

Keahlian :

MICROSOFT OFFICE, BAHASA INGGRIS

Kualifikasi :

Fresh graduate silahkan melamar

Waktu Bekerja :
SENIN- SABTU. SENIN SAMPAI JUMAT, JM 07:30-17:00. SABTU SETENGAH HARI",https://www.loker.id/transportation-logistics/purchasing-pembelian/staff-purchasing-pt-pelita-niaga-sejahtera-jakarta-barat.html,"Posted Date: April 29, 2024"
"PT Sentra Brosis Indojaya","Staff Admin Gudang","Jakarta Pusat",Negosiasi,"Junior / Entry Level",Diploma/D1/D2/D3,"SMA / SMK / STM","PT Sentra Brosis Indojaya – importir aksesoris mobil – berdiri sejak tahun 2002 dan memiliki jaringan distribusi berskala nasional. Sejak itu kami telah menjadi menjadi penyedia warning equipment bagi Kepolisian Republik Indonesia, Badan SAR Nasional, Dinas Perhubungan, dan berbagai perusahaan karoseri di seluruh Indonesia.
Saat ini sedang membutuhkan Staff Admin Gudang untuk membantu kegiatan staff admin gudang untuk mengatur kegiatan administrasi

Tanggung Jawab Pekerjaan :

– Bertanggung jawab atas semua proses Administrasi Gudang, mulai dari Stock barang, pengiriman barang baik dalam kota dan luar kota  serta retur barang.
– Bertanggung Jawab Atas Keluar dan Masuk Barang Dari Gudang
– Mengecek Nota Keluar dan Masuk
– Stok opname

Keahlian :

1. Microsoft Office
2. Stok Opname
3. Pengaturan Pengiriman Barang

Kualifikasi :

1. Wanita
2. Pendidikan minimal SMA
3. Pengalaman minimal 1 tahun

Waktu Bekerja :
Senin – Sabtu , 08:30 s/d 17:00",https://www.loker.id/transportation-logistics/warehouse/staff-admin-gudang-pt-sentra-brosis-indojaya-jakarta-pusat-5.html,"Posted Date: April 27, 2024"
"Mojiyama Florist","Staff Pramuniaga Toko","Jakarta Barat",Negosiasi,"Junior / Entry Level","SMA / SMK / STM","Purna Waktu / Full Time","Mojiyama Florist membutuhkan Pramuniaga Toko untuk membuat dan mengembangkan strategi toko yang bertujuan untuk meningkatkan jumlah pelanggan yang datang, meningkatkan penjualan dan mengoptimalkan keuntungan.

Tanggung Jawab Pekerjaan :

Memastikan pelayanan toko sebaik mungkin untuk menciptakan kepuasan pelanggan yang tinggi.
Membuka dan menutup toko
Melayani proses penjualan toko, packing sederhana dan melayani pelanggan secara Online dan Offline
Menginput data penjualan dan membuat invoice dengan aplikasi komputer online
Menata stok barang, mencatat dan mengupdate stok barang yang tersedia
Menjaga keamanan dan kebersihan toko
Melakukan rekap penjualan harian
Membersihkan dan merapikan produk

Keahlian :

Ahli menggunakan aplikasi online (whatsapp, aplikasi delivery seperti Grab / Lalamove / Gojek, dll) dan aplikasi komputer lainnya (Microsoft Excel, Word dll)
Ahli membuat invoice online dengan aplikasi yang disediakan

Kualifikasi :

Pria/Wanita usia dibawah 30 tahun
Memiliki ketrampilan dibidang akunting/penjualan bunga/pergudangan lebih diutamakan

Waktu Bekerja :
Senin Jumat 6.00 – 17.00 Sabtu 6.00 – 15.30 Minggu Libur
Tunjangan :

Tempat tinggal",https://www.loker.id/ritel/asisten-ritel/staff-pramuniaga-toko-mojiyama-florist-jakarta-barat.html,"Updated:  April 29, 2024"
