pt,title,lokasi,gaji,level,pendidikan,tipe_pekerjaan,description,link,post_date
"PT Sari Kreasi Boga, Tbk","Staff IT Support","Jakarta Barat","Rp.1 - 2 Juta","Junior / Entry Level",Diploma/D1/D2/D3,"SMA / SMK / STM","PT Sari Kreasi Boga adalah perusahaan yang bergerak di bidang penjualan bahan baku dan waralaba makanan dan minuman membutuhkan kadidat dengan posisi : Freelance Staff IT Support

Tanggung Jawab Pekerjaan :

Maintance Jaringan, Jaringan, Website, Domain Email, Telepon

Keahlian :

Memahami dan menguasai segala hal yang berhubungan dengan komputer.
Memahami prinsip-prinsip jaringan seperti topologi jaringan, protokol komunikasi, dan cara kerja perangkat jaringan seperti switch, router, dan firewall.

Kualifikasi :

Pria/Wanita
Umur Min. 20 th Maks. 40 th
Pendidikan Minimal SMA/SMK
Non Pengalaman/ Min. Pengalaman 1 Th

Waktu Bekerja :
Jam : 08-17, Senin s.d. Jum’at",https://www.loker.id/information-technology/help-desk-it-support/staff-it-support-pt-sari-kreasi-boga-tbk-jakarta-barat.html,"Posted Date: April 3, 2024"
"PT. PESONA INDAH KOSMETIK","Staff IT","Jakarta Pusat","Rp.4 – 5 Juta","Junior / Entry Level","Sarjana / S1",Kontrak,"PT. PESONA INDAH KOSMETIK adalah perusahaan yang bergerak di bidang penjualan kosmetik khususnya produk SKINCARE. saat ini kami membuka lowongan kerja untuk mengisi posisi sebagai STAFF IT

Tanggung Jawab Pekerjaan :

Mampu bekerja sama dengan team dan secara mandiri.
Membuat program sesuai kebutuhan perusahaan
Melakukan pengembangan terhadap program perusahaan terutama website.
Melakukan pemeliharaan dan perawatan kondisi server
roubleshooting dan melakukan perbaikan terhadap masalah yang muncul
Menyelesaikan semua tugas sesuai deadline yang sudah ditentukan.

Keahlian :

Memiliki pengetahuan tentang HTML, CSS, JavaScript
Memiliki pengetahuan tentang Python dan Framework Django
Nilai tambah apabila dapat menampilkan portofolio / membawa contoh website (static ataupun dynamic) yang pernah dibuat
Nilai tambah apabila memiliki pengetahuan tentang Web Server dan Internet Security

Kualifikasi :

Pendidikan minimal S1 Sistem Informasi / Teknik Informatika atau setara
fresh graduate silahkan melamar
Mampu bekerja sama dengan team dan secara mandiri.

Waktu Bekerja :
jam 9 s/d 17, senin – jumat
Tunjangan :

bpjs",https://www.loker.id/information-technology/web-administrator/staff-it-pt-pesona-indah-kosmetik-jakarta-pusat.html,"Updated:  April 3, 2024"
"PT. Multi Hidrachrome Industri","IT Support","Jakarta Barat",Negosiasi,"Junior / Entry Level",Diploma/D1/D2/D3,"Sarjana / S1","PT Multi Hidrachrome Industri merupakan perusahaan yang bergerak dibidang Hydraulic Manucturer & Harchrome Plating Services. Kami saat ini sedang membutuhan IT Support yang kompeten dibidangnya dan bertugas untuk instalasi, evaluasi dan peningkatan terhadap tiga objek utama yaitu komputer, software, dan pengembangan sistem jaringan atau network system.

Tanggung Jawab Pekerjaan :

– Melakukan backup Database
– Meguasai pengoperasian Microtic
– Dapat melakukan instal ulang balik PC maupun Laptop/ Cloning Data
– Memelihara server dan jaringan LAN serta email
– Memelihara Printer/perbaikan printer jika tidak terkoneksi  

Keahlian :

1. Menguasai Sistem Operasi MS Office
2. Menguasai Sistem Jaringan
3. Menguasai Program Komputer
4. Menguasai Penanganan Virus Dan Malware
5. Menguasai Perangkat Lainnya Yang Terhubung Dengan Komputer
6. Menguasai Hal-Hal Yang Berkaitan Dengan Data
7. Mengetahui Masalah Komputer Dengan Cepat
8. Menguasai Hardware Komputer

Kualifikasi :

– Pria
– Usia maks 30 tahun
– Pendidikan minimal D3/S1
– Pengalaman minimal 1 tahun

Waktu Bekerja :
Senin-Jumat 08.00-16.00, Sabtu 08.00-13.30
Tunjangan :

– BPJS Kesehatan dan Ketenagakerjaan

Insentif :

– Uang Lembur",https://www.loker.id/information-technology/help-desk-it-support/it-support-pt-multi-hidrachrome-industri-jakarta-barat.html,"Posted Date: Mei 2, 2024"
"PT KINARYA ALIHDAYA MANDIRI Regional Jawa Barat","Staff IT","Bandung Kota","Rp.4 – 5 Juta","Junior / Entry Level",Diploma/D1/D2/D3,"SMA / SMK / STM","Kami Perusahaan Jasa Telekomunikasi Alihdaya sedang mencari individu yang berbakat dan berpengalaman untuk bergabung dengan tim kami di PT KINARYA ALIHDAYA MANDIRI. Jika Anda adalah seorang yang bersemangat, berkomitmen, dan ingin menjadi bagian dari perjalanan kami, kami mengundang Anda untuk melamar posisi Staff IT di perusahaan kami.

Tanggung Jawab Pekerjaan :

1. Maintenance & development sistem/aplikasi
2. Maintenance Jaringan & Troubleshooting

Keahlian :

1. Familiar dengan windows (Linux sebagai nilai plus)
2. Terbiasa melakukan troubleshoot jaringan, troubleshoot laptop/pc dan instalasi jaringan
3. Memiliki sertifikasi jaringan CCNA/MTCNA
4. Menguasai Basic Dasar Network
5. Menguasai hardware dan shoftware komputer (Dekstop Manaagement)

Kualifikasi :

1. Pria, usia maks 35 tahun
2. Pendidikan minimal SMA/SMK
3. Pengalaman Kerja 1-2 tahun di bidang IT Support
4. Domisili Dibandung.
5. Deadline 31 Mei 2024
      Urgent Requirement

Waktu Bekerja :
jam 8 – 17 Senin – Jumat
Tunjangan :

BPJS Ketenegakerjaan dan BPJS Kesehatan

Insentif :

Uang Lembur",https://www.loker.id/information-technology/help-desk-it-support/staff-it-pt-kinarya-alihdaya-mandiri-regional-jawa-barat-bandung-kota.html,"Posted Date: April 30, 2024"
"PT.Wijaya Putra Samudra","IT Application Support",Bogor,Negosiasi,"Junior / Entry Level",Diploma/D1/D2/D3,"Sarjana / S1","Tanggung Jawab Pekerjaan :

1.	Application support Website, Network, Mobile dan ERP
2.	Mengelola website corporate & email
3.	Mengelola semua proses admin terkait semua aspek IT (SW/HW Office)

Keahlian :

1. Dapat bekerja sama dengan tim
2. Dapat berorientasi dengan target sesuai yang di tentukan
3.	Memiliki pemahaman pada aplikasi Website, Network, Mobile dan ERP
4.	Fasih Software Office & Software tools lainnya
5.	Memiliki pemahaman terkait web developer

Kualifikasi :

1.	Usia Max. 35 tahun
2.     Memiliki pengalaman minimal 1 tahun di bidangnya
3.	Pendidikan Minimal D3, jurusan Manajemen Informatika, Teknik Informatika, Sistem Informasi (lebih disukai)

Waktu Bekerja :
Jam 08.00 s/d 17.00, Senin – Jum’at | Jam 08.00 s/d 14.00, Sabtu
Tunjangan :

Uang Makan dan Uang Transport",https://www.loker.id/information-technology/help-desk-it-support/it-application-support-pt-wijaya-putra-samudra-bogor.html,"Posted Date: April 29, 2024"
"PT. FTF Globalindo","IT Support",Bekasi,"Rp.3 – 4 Juta","Junior / Entry Level",Diploma/D1/D2/D3,"Sarjana / S1","PT. FTF Globalindo Saat ini membutuhkan IT Support untuk wilayah Bekasi dan sekitarnya, melakukan instalasi software dan hardware, melakukan maintenance dan juga. 

Tanggung Jawab Pekerjaan :

– Melakukan pemasangan perangkat komputer
– Melakukan Perbaikan Pada Perangkat Komputer
– Analisa Masalah yang terjadi pada Perangkat Klient
– Instalasi Software
– Pemasangan Jaringan Komputer

Keahlian :

– Networking
– Troubleshooting
– Instalasi Software
– Instalasi Komputer
– Memahami Jaringan LAN/WAN/MAN
– Memahami Server
– Mengerti Komputer

Kualifikasi :

– Pria usia 19 s/d 28 thn
– Pendidikan minimal SMK TKJ/RPL
– Dapat bekerja Remot/mobile
– Memiliki Kendaraan Pribadi
– Memiliki sim C yang masih aktif
– Pengalaman Minimal 1 tahun

Waktu Bekerja :
jam 08.00 s/d 17.00, Senin-Jumat
Tunjangan :

– Uang Makan / Transport
– Reimbush
– Oli Kendaraan
– Bensin/Parkir",https://www.loker.id/information-technology/help-desk-it-support/it-support-pt-ftf-globalindo-bekasi.html,"Posted Date: April 29, 2024"
"PT Cipta Infoma","IT Support Staff","Jakarta Selatan","Rp.3 – 4 Juta","Junior / Entry Level","Sarjana / S1","Purna Waktu / Full Time","PT Cipta Infoma memiliki anak perusahaan yang saat ini sedang membutuhkan Staff IT. Kami membutuhkan Staff IT untuk penempatan di Jakarta yang akan bertugas untuk memelihara dan memantau sistem dan program di Rumah Sakit.

Tanggung Jawab Pekerjaan :

1. Maintaining and monitoring system and program in the Hospital
2. Handling customer complain directly, either face-to-face or via telephone, to help resolve request /issues
3. Providing report to user or internal

Keahlian :

1. Understand computer science and information systems
2. Good communication skills

Kualifikasi :

1. Male, 22 – 27 years old
2. 1 – 2 years of relevant experience in a similar role or Fresh graduate are welcome
3. Placement in Jakarta
4. Bachelor (S-1) degree in Computer System, Informatics Engineering, Information System, Informatics Management. GPA minimal 3.00

Waktu Bekerja :
Monday to Saturday (*Saturday half day)
Tunjangan :

Transportasi, Kesehatan, Ketenagakerjaan

Insentif :

Insentif per Project",https://www.loker.id/information-technology/help-desk-it-support/it-support-staff-pt-cipta-infoma-jakarta-selatan.html,"Posted Date: April 26, 2024"
"PT Cipta Infoma","IT Support Staff",Surabaya,"Rp.3 – 4 Juta","Junior / Entry Level","Sarjana / S1","Purna Waktu / Full Time","PT Cipta Infoma memiliki anak perusahaan yang saat ini sedang membutuhkan Staff IT. Kami membutuhkan Staff IT untuk penempatan di Surabaya yang akan bertugas untuk memelihara dan memantau sistem dan program di Rumah Sakit.

Tanggung Jawab Pekerjaan :

1. Maintaining and monitoring system and program in the Hospital
2. Handling customer complain directly, either face-to-face or via telephone, to help resolve request /issues
3. Providing report to user or internal

Keahlian :

1. Understand computer science and information systems
2. Good communication skills

Kualifikasi :

1. Male, 22 – 27 years old
2. 1 – 2 years of relevant experience in a similar role or Fresh graduate are welcome
3. Placement in Surabaya
4. Bachelor (S-1) degree in Computer System, Informatics Engineering, Information System, Informatics Management. GPA minimal 3.00

Waktu Bekerja :
Monday to Saturday (*Saturday half day)
Tunjangan :

Transportasi, Kesehatan, Ketenagakerjaan

Insentif :

Insentif per Project",https://www.loker.id/information-technology/help-desk-it-support/it-support-staff-pt-cipta-infoma-surabaya-4.html,"Posted Date: April 22, 2024"
"PT. Medianusa Permana",Helpdesk,Batam,Negosiasi,"Junior / Entry Level",Diploma/D1/D2/D3,"Sarjana / S1","PT. Medianusa Permana bergerak di bidang telekomunikasi (internet Services Provider/ISP), membutuhan staff di posisi Helpdesk dengan penempatan di Batam, Kepualuan Riau. 

Tanggung Jawab Pekerjaan :

-. Monitoring network secara keseluruhan
-. Penanganan gangguan
-. Memberikan report pekerjaan

Keahlian :

1. Memahami Osi Layer, IP Address V4
2. Familiar dengan monitoring prtg, mrtg, dude, grafana
3. Familiar dengan Mikrotik
4. Kemampuan Analisa yang baik dalam hal troubleshooting
5. Memiliki pemahaman yang baik tentang konsep jaringan Lan, Wan, Swithcing, Routing, Wireless, Fiber Optic.

Kualifikasi :

-. Pria/Wanita maksimal 30 tahun
-. Pendidikan minimal D3
-. Mampu berkomunikasi dengan baik secara lisan dan tulisan
-. Bersedia bekerja Shift
-. Berpengalaman 1 tahun di jaringan

Waktu Bekerja :
Dengan jadwal Shift",https://www.loker.id/information-technology/help-desk-it-support/helpdesk-pt-medianusa-permana-batam.html,"Posted Date: April 22, 2024"
"PT. Wira Arta Telematika","IT Network Engineer Leader","Jakarta Barat","Rp.8 – 9 Juta","Supervisor / Coordinator","Sarjana / S1","Purna Waktu / Full Time","Tanggung Jawab Pekerjaan :

•	Create Bill of Material for Cisco, Juniper, HPE Aruba and Fortinet, but not limited to this product
•	Build an integrated proposal consist of company profile, solution diagram, sizing consideration, project time line, migration/integration method and other technical related matter, present the solution and convince customer
•	Coordination with sales team related with sales strategy, such as brand to be choosen, device spesification, complexity of integration and professional services cost
•	Assessment for customer current pain point, business objective and requirement for IT Services e.g. roll-out, managed service, managed operation, seat management and others
•	Create and Maintain comprehensive project documentation
•	Lead and manage post sales team (Network & System Engineer)

Keahlian :

•	Having professional certification such as CCNP/CCDP, JNCIP or PMP
•	Have a very good communication and presentation skill
•	Proficeient in English

Kualifikasi :

•	Minimum 2 years experience as Network Presales or Solution Architect
•	Minimum Bachelor Degree (S-1) from Information or Electrical Engineering
•	Have experience in other IT technologies e.g. call center, video conference, CCTV etc. Is an advantage
•	Preferably having professional certification such as CCNP/CCDP, JNCIP or PMP
•	Willing to do business trip
•	Work location : Jakarta

Waktu Bekerja :
Senin-Jumat, 8.30-17.30",https://www.loker.id/information-technology/network-engineer/it-network-engineer-leader-pt-wira-arta-telematika-jakarta-barat.html,"Posted Date: April 18, 2024"
